PMID,Title,Author,Abstract
27440090,Four axiological considerations in social epidemiology for the monitoring of health inequality],Oscar J Mújica,"As the conceptual components of the most important contemporary public health agendas at the global and regional levels are brought into alignment and as it becomes more clearly understood that equity is a constitutive principle of these agendas, there is also a growing awareness of the strategic value of monitoring social inequalities in health. This is the health intelligence tool par excellence, not only for objectively assessing progress towards achieving health equity, but also for reporting action on the social determinants of health, progress towards the attainment of health for all, and the success of intersectoral efforts that take a ""health in all policies"" approach. These transformations are taking place in the context of an increasingly evident paradigm shift in public health. This essay presents four axiological considerations inherent to-and essential for -conceptualizing and implementing ways to measure and monitor health inequalities: ecoepidemiology as an emerging field in contemporary public health; the determinants of health as the causal model and core of the new paradigm; the relationship between the social hierarchy and health to understand the health gradient; and the practical need for a socioeconomic classification system that captures the social dimension in the determinants of health. The essay argues that these four axiological considerations lend epidemiologic coherence and rationality to the process of measuring and monitoring health inequalities and, by extension, to the development of pro-equity health policy proposals."
27405018,Human Identification Using Automatic and Semi-Automatically Detected Facial Marks,Nisha Srinivas,"Continuing advancements in the field of digital cameras and surveillance imaging devices have led law enforcement and intelligence agencies to use analysis of images and videos for the investigation and prosecution of crime. When determining identity from photographic evidence, forensic analysts perform comparison of visible facial features manually, which is inefficient. In this study, we will address research efforts to use facial marks as biometric signatures to distinguish between individuals. We propose two systems to assist forensic analysts during photographic comparison: an improved multiscale facial mark system in which facial marks are detected automatically, and a semi-automatic facial mark system that integrates human knowledge within the improved multiscale facial mark system. Experiment results employ a high-resolution time-elapsed dataset acquired at the University of Notre Dame between 2009 and 2011. The results indicate that the geometric distributions of facial mark patterns can be used to distinguish between individuals."
27318219,Psychometric properties of the children's sleep habits questionnaire in children with autism spectrum disorder,Cynthia R Johnson,"Background and purpose: Sleep disturbances in autism spectrum disorder (ASD) are very common. Psychometrically sound instruments are essential to assess these disturbances. Children's Sleep Habit Questionnaire (CSHQ) is a widely used measure in ASD. The purpose of this study was to explore the psychometric properties of the CSHQ in a sample of children with ASD. Participants and methods: Parents/caregivers of 310 children (mean age: 4.7) with ASD completed the CSHQ at study enrollment. Correlations between intelligence quotient (IQ) scores and the original CSHQ scales were calculated. Item endorsement frequencies and percentages were also calculated. A principal component analysis (PCA) was performed, and internal consistency was assessed for the newly extracted components. Results: Correlations between IQ scores and CSHQ subscales and total scores ranged from .015 to .001 suggesting a weak, if any, association. Item endorsement frequencies were high for bedtime resistance items, but lower for parasomnia and sleep-disordered breathing items. A PCA suggested that a five-component solution best fits the data. Internal consistency of the newly extracted five components ranged α = .87-.50. Conclusions: Item endorsement frequencies were highest for bedtime resistance items. A PCA suggested a five-component solution. Three of the five components (Sleep Routine Problems, Insufficient Sleep, and Sleep-onset Association Problems) were types of sleep disturbances commonly reported in ASD, but the other two components (Parasomnia/Sleep-disordered Breathing and Sleep Anxiety) were less clear. Internal consistencies ranged from mediocre to good. Further development of this measure for use in children with ASD is encouraged."
27257441,Passing the Turing Test Does Not Mean the End of Humanity,Kevin Warwick,"In this paper we look at the phenomenon that is the Turing test. We consider how Turing originally introduced his imitation game and discuss what this means in a practical scenario. Due to its popular appeal we also look into different representations of the test as indicated by numerous reviewers. The main emphasis here, however, is to consider what it actually means for a machine to pass the Turing test and what importance this has, if any. In particular does it mean that, as Turing put it, a machine can ""think"". Specifically we consider claims that passing the Turing test means that machines will have achieved human-like intelligence and as a consequence the singularity will be upon us in the blink of an eye."
27194817,Be Careful Where You Smile: Culture Shapes Judgments of Intelligence and Honesty of Smiling Individuals,Kuba Krys,"Smiling individuals are usually perceived more favorably than non-smiling ones-they are judged as happier, more attractive, competent, and friendly. These seemingly clear and obvious consequences of smiling are assumed to be culturally universal, however most of the psychological research is carried out in WEIRD societies (Western, Educated, Industrialized, Rich, and Democratic) and the influence of culture on social perception of nonverbal behavior is still understudied. Here we show that a smiling individual may be judged as less intelligent than the same non-smiling individual in cultures low on the GLOBE's uncertainty avoidance dimension. Furthermore, we show that corruption at the societal level may undermine the prosocial perception of smiling-in societies with high corruption indicators, trust toward smiling individuals is reduced. This research fosters understanding of the cultural framework surrounding nonverbal communication processes and reveals that in some cultures smiling may lead to negative attributions."
27175053,School effects on non-verbal intelligence and nutritional status in rural Zambia,Sascha Hein,"This study uses hierarchical linear modeling (HLM) to examine the school factors (i.e., related to school organization and teacher and student body) associated with non-verbal intelligence (NI) and nutritional status (i.e., body mass index; BMI) of 4204 3rd to 7th graders in rural areas of Southern Province, Zambia. Results showed that 23.5% and 7.7% of the NI and BMI variance, respectively, were conditioned by differences between schools. The set of 14 school factors accounted for 58.8% and 75.9% of the between-school differences in NI and BMI, respectively. Grade-specific HLM yielded higher between-school variation of NI (41%) and BMI (14.6%) for students in grade 3 compared to grades 4 to 7. School factors showed a differential pattern of associations with NI and BMI across grades. The distance to a health post and teacher's teaching experience were the strongest predictors of NI (particularly in grades 4, 6 and 7); the presence of a preschool was linked to lower BMI in grades 4 to 6. Implications for improving access and quality of education in rural Zambia are discussed."
27162703,Stereotype Fit Effects for Golf Putting Nonexperts,Lisa R Grimm,"Research has connected stereotype threat and regulatory fit by showing improved performance for individuals with negative stereotypes when they focused on minimizing potential losses. In the current study, non-Black participants, who were non-experts at golf putting, were told that a golf-putting task was diagnostic of natural athletic ability (i.e., negative stereotype) or sports intelligence (i.e., positive stereotype). Participants tried to maximize earned points or minimize lost points assigned after every putt, which was calculated based on the distance to a target. We demonstrate better performance for participants experiencing a fit between their global task stereotype and the task goal, and argue that regulatory fit allows for increased attention on the strategies beneficial for task performance. Interestingly, we find that performance of individuals high in working memory capacity suffers greatly when those individuals experience a regulatory mismatch."
27079105,Hardware Implementation of Numerical Simulation Function of Hodgkin-Huxley Model Neurons Action Potential Based on Field Programmable Gate Array],Jinlong Wang,"Neuron is the basic unit of the biological neural system. The Hodgkin-Huxley (HH) model is one of the most realistic neuron models on the electrophysiological characteristic description of neuron. Hardware implementation of neuron could provide new research ideas to clinical treatment of spinal cord injury, bionics and artificial intelligence. Based on the HH model neuron and the DSP Builder technology, in the present study, a single HH model neuron hardware implementation was completed in Field Programmable Gate Array (FPGA). The neuron implemented in FPGA was stimulated by different types of current, the action potential response characteristics were analyzed, and the correlation coefficient between numerical simulation result and hardware implementation result were calculated. The results showed that neuronal action potential response of FPGA was highly consistent with numerical simulation result. This work lays the foundation for hardware implementation of neural network."
27066168,Life and consciousness - The Vedāntic view,Bhakti Niskama Shanta,"In the past, philosophers, scientists, and even the general opinion, had no problem in accepting the existence of consciousness in the same way as the existence of the physical world. After the advent of Newtonian mechanics, science embraced a complete materialistic conception about reality. Scientists started proposing hypotheses like abiogenesis (origin of first life from accumulation of atoms and molecules) and the Big Bang theory (the explosion theory for explaining the origin of universe). How the universe came to be what it is now is a key philosophical question. The hypothesis that it came from Nothing (as proposed by Stephen Hawking, among others), proves to be dissembling, since the quantum vacuum can hardly be considered a void. In modern science, it is generally assumed that matter existed before the universe came to be. Modern science hypothesizes that the manifestation of life on Earth is nothing but a mere increment in the complexity of matter - and hence is an outcome of evolution of matter (chemical evolution) following the Big Bang. After the manifestation of life, modern science believed that chemical evolution transformed itself into biological evolution, which then had caused the entire biodiversity on our planet. The ontological view of the organism as a complex machine presumes life as just a chance occurrence, without any inner purpose. This approach in science leaves no room for the subjective aspect of consciousness in its attempt to know the world as the relationships among forces, atoms, and molecules. On the other hand, the Vedāntic view states that the origin of everything material and nonmaterial is sentient and absolute (unconditioned). Thus, sentient life is primitive and reproductive of itself - omne vivum ex vivo - life comes from life. This is the scientifically verified law of experience. Life is essentially cognitive and conscious. And, consciousness, which is fundamental, manifests itself in the gradational forms of all sentient and insentient nature. In contrast to the idea of objective evolution of bodies, as envisioned by Darwin and followers, Vedānta advocates the idea of subjective evolution of consciousness as the developing principle of the world. In this paper, an attempt has been made to highlight a few relevant developments supporting a sentient view of life in scientific research, which has caused a paradigm shift in our understanding of life and its origin."
29249903,Visual analysis of online social media to open up the investigation of stance phenomena,Kostiantyn Kucher,"Online social media are a perfect text source for stance analysis. Stance in human communication is concerned with speaker attitudes, beliefs, feelings and opinions. Expressions of stance are associated with the speakers' view of what they are talking about and what is up for discussion and negotiation in the intersubjective exchange. Taking stance is thus crucial for the social construction of meaning. Increased knowledge of stance can be useful for many application fields such as business intelligence, security analytics, or social media monitoring. In order to process large amounts of text data for stance analyses, linguists need interactive tools to explore the textual sources as well as the processed data based on computational linguistics techniques. Both original texts and derived data are important for refining the analyses iteratively. In this work, we present a visual analytics tool for online social media text data that can be used to open up the investigation of stance phenomena. Our approach complements traditional linguistic analysis techniques and is based on the analysis of utterances associated with two stance categories: sentiment and certainty. Our contributions include (1) the description of a novel web-based solution for analyzing the use and patterns of stance meanings and expressions in human communication over time; and (2) specialized techniques used for visualizing analysis provenance and corpus overview/navigation. We demonstrate our approach by means of text media on a highly controversial scandal with regard to expressions of anger and provide an expert review from linguists who have been using our tool."
27024935,"Philosophical Intelligence: Letters, Print, and Experiment during Napoleon's Continental Blockade",Iain P Watts,"This essay investigates scientific exchanges between Britain and France from 1806 to 1814, at the height of the Napoleonic Wars. It argues for a picture of scientific communication that sees letters and printed texts not as separate media worlds, but as interconnected bearers of time-critical information within a single system of intelligence gathering and experimental practice. During this period, Napoleon Bonaparte's Continental System blockade severed most links between Britain and continental Europe, yet scientific communications continued--particularly on electrochemistry, a subject of fierce rivalry between Britain and France. The essay traces these exchanges using the archive of a key go-between, the English man of science Sir Charles Blagden. The first two sections look at Blagden's letter-writing operation, reconstructing how he harnessed connections with neutral American diplomats, merchants, and the State to get scientific intelligence between London and Paris. The third section, following Blagden's words from Britain to France to America, looks at how information in letters cross-fertilized with information in print. The final section considers how letters and print were used together to solve the difficult practical problem of replicating experiments across the blockade."
27021830,"Relationships between Personal Traits, Emotional Intelligence, Internal Marketing, Service Management, and Customer Orientation in Korean Outpatient Department Nurses",Bogyun Kim,"Purpose: Current increase and complexity of medical tests and surgical procedures at outpatient department (OPD) require OPD nurses to have customer orientation focusing on various customers' interests and needs. The purpose of this study was to identify the factors associated with customer orientation in nurses working at OPD of hospitals. Methods: The study used a descriptive correlational design with cross-sectional survey. The study settings were four general hospitals in Seoul and its metropolitan area. Data were collected from 138 OPD nurses from general hospitals. Study variables were personal traits, emotional intelligence, internal marketing, service management and customer orientation. Results: Factors associated with customer orientation were identified as conscientiousness from personal traits (β = .37, p < .001), emotional intelligence from individual characteristics (β = .21, p = .032), and internal marketing from environmental characteristics (β = .21, p = .001). Conclusions: Hospital administrators should support OPD nurses to cultivate sincere and sociable personal traits and emotional intelligence, and to consider employees as internal customers to improve patient-oriented services and satisfaction."
27019718,Self-organized flexible leadership promotes collective intelligence in human groups,Ralf H J M Kurvers,"Collective intelligence refers to the ability of groups to outperform individual decision-makers. At present, relatively little is known about the mechanisms promoting collective intelligence in natural systems. We here test a novel mechanism generating collective intelligence: self-organization according to information quality. We tested this mechanism by performing simulated predator detection experiments using human groups. By continuously tracking the personal information of all members prior to collective decisions, we found that individuals adjusted their response time during collective decisions to the accuracy of their personal information. When individuals possessed accurate personal information, they decided quickly during collective decisions providing accurate information to the other group members. By contrast, when individuals had inaccurate personal information, they waited longer, allowing them to use social information before making a decision. Individuals deciding late during collective decisions had an increased probability of changing their decision leading to increased collective accuracy. Our results thus show that groups can self-organize according to the information accuracy of their members, thereby promoting collective intelligence. Interestingly, we find that individuals flexibly acted both as leader and as follower depending on the quality of their personal information at any particular point in time."
27017721,COPING SKILLS IN CHILDREN WITH EPILEPSY--EVALUATION OF COGNITIVE BEHAVIORAL THERAPY INTERVENTION,Maja Batista,"A pilot study was conducted to examine the efficiency and satisfaction of cognitive behavioral therapy (CBT) intervention in youth with epilepsy regarding coping strategies. The CBT intervention was based on the main principles and empirically supported cognitive-behavioral techniques. The intervention consists of epilepsy education, stress education, and coping skill strategies. Seventeen children and adolescents aged 9-17 diagnosed with epilepsy for at least one year, with at least average intelligence and no history of serious mental illness completed the CBT intervention during summer camp, providing data on the efficiency of and satisfaction with CBT intervention. Upon completion of the CBT intervention, study subjects achieved significantly higher scores on the following Scale of Coping with Stress subscales: Problem solving; Seeking for social support from friends; Seeking for social support from family; and Cognitive restructuring, for both measures of usage frequency and effectiveness of each subscale. The participants reported a high level of satisfaction with the CBT intervention. This study provided explanation of research limitations and recommendations for future clinical trials."
27012291,An Overview on Indian Patents on Biotechnology,Anusaya Mallick,"Background: The application of biotechnology is a potential tool for mitigating the present and future fooding and clothing demands in developing countries like India. The commercialization of biotechnological products might benefiting the poor`s in developing countries are unlikely to be developed. Biotechnology has the potential to provide a wide range of products and the existing production skills in the industrial, pharmaceuticals and the agricultural sector. Methods: Ownership of the intellectual property rights is the key factors in determining the success of any technological invention, which was introduced in the market. It provides the means for technological progress to continue of the industry of the country. The new plans, animal varieties, new methods of treatments, new crops producing food articles as such are the inventions of biotechnology. Result: Biotechnology is the result of the application of human intelligence and knowledge to the biological processes. Most of the tools of biotechnology have been developed, by companies, governments, research in- stitutes and universities in developed nations. These human intellectual efforts deserve protection. India is a developing country with advance biotechnology based segments of pharmaceutical and agricultural industries. The Trade Related Intellectual Property Rights (TRIPS) is not likely to have a significant impact on incentives for innovation creation in the biotechnology sectors. In the recent years, the world has seen the biotechnology sector as one of greatest investment area through the Patent Law and will giving huge profit in future. Conclusion: The Research and Development in the field of biotechnology should be encouraged for explor- ing new tools and improve the biological systems for interest of the common people. Priority should be given to generation, evaluation, protection and effective commercial utilization of tangible products of intellectual property in agriculture and pharmaceuticals. To support the future growth and development in the area of bio- technology and exchange of knowledge should be proper evaluate and secure through patent system."
26937401,Enzyme replacement therapy in Hurler syndrome after failure of hematopoietic transplant,Leonor Arranz,"The most severe form of Mucopolysaccharosidosis type I (MPS-I), Hurler syndrome, presents with progressive respiratory, cardiac and musculoskeletal symptoms and cognitive deterioration. Treatment includes enzyme replacement therapy (ERT) and/or hematopoietic stem cell transplantation (HSCT). We describe the case of an 8-year old boy with MPS-I, homozygous for W402X, treated at 10 months of age with HSCT and after failure of the transplant, with ERT during 2 years showing good results, including a positive neuropsychological development."
26935766,Narrative competence in children with pragmatic language impairment: a longitudinal study,Mieke P Ketelaars,"Background: Children with pragmatic language impairment (PLI) show impairments in the use of language in social contexts. Although the issue has been gaining attention in recent literature, not much is known about the developmental trajectories of children who experience pragmatic language problems. Since narrative competence is an important predictor of both academic and social success, evaluating narrative competence in children with PLI is deemed important. Aims: To examine the development of narrative competence of children with PLI compared with typically developing (TD) children using a prognostic longitudinal design. Methods & procedures: Using the Dutch adaptation of the Renfrew Bus Story Test, narrative competence was assessed at ages 5-7 for a group of 84 children with PLI and a group of 81 TD children. Groups were compared on measures of narrative productivity, organization of story content and cohesion. Outcomes & results: Results showed an increase in narrative competence for both groups across most time points. The PLI group obtained lower scores on measures of narrative productivity and story content organization compared with their TD peers at all time points, but did not show more problems related to narrative cohesion. Most problems in the domain of narrative productivity and story content organization were shown to be independent of lower non-verbal intelligence. The developmental trajectory for the PLI group was largely similar to that of their TD peers, and showed a persistent developmental delay of approximately one year. Furthermore, qualitative differences were visible in the proportion of irrelevant T-units, which was consistently higher in the PLI group. The different narrative measures were found to be relatively stable over time. Conclusions & implications: The results of this study suggest that narrative difficulties of children identified as pragmatically impaired persist at least until middle childhood. The persistence of the measured developmental delay, combined with the finding of qualitative differences, support the view of PLI as a deficit, which is consistent with the addition of social communication disorder (SCD) to the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM-5)."
26934420,Reading Achievement in Boys With Non-Syndromic Cleft Palate Only: Relationship to Neuropsychological Skill and Neurocircuitry,Amy L Conrad,"Reading achievement and neural activation during a reading task were evaluated among boys with isolated cleft palate only (iCP) in comparison to unaffected controls. Ten boys with iCP and 10 unaffected boys between the ages of 8 and 16 years old were assessed. Standardized assessments of intelligence and reading achievement were administered and participants underwent a block-design functional magnetic resonance imaging protocol using non-word rhyming and judgment of line tasks. Among the 10 boys with iCP, reading fluency correlated with phonological awareness and visual memory. Neural activation was increased in regions of the brain associated with a non-fluent/dyslexic reading pattern."
26933592,Head Circumference and Neurocognitive Outcomes,J Gordon Millichap,"Investigators from Universities of Glasgow and Bristol, UK, determined the value of head circumference (HC) as a screening measure, the incidence of head centile shifting, and the relationship between extremes of head size and later neurodevelopmental problems."
26933586,Cognitive Development of Children with Craniosynostosis,J Gordon Millichap,"Investigators from University of Washington, Seattle, WA; Harvard U, MA; St Louis, MO; Atlanta, GA; Northwestern U, and Shriner's Hospital, Chicago, compared the development of school-aged children with single-suture craniosynostosis (sagittal, metopic, unicoronal, lambdoid) and unaffected children."
32288689,Social big data: Recent achievements and new challenges,Gema Bello-Orgaz,"Big data has become an important issue for a large number of research areas such as data mining, machine learning, computational intelligence, information fusion, the semantic Web, and social networks. The rise of different big data frameworks such as Apache Hadoop and, more recently, Spark, for massive data processing based on the MapReduce paradigm has allowed for the efficient utilisation of data mining methods and machine learning algorithms in different domains. A number of libraries such as Mahout and SparkMLib have been designed to develop new efficient applications based on machine learning algorithms. The combination of big data technologies and traditional machine learning algorithms has generated new and interesting challenges in other areas as social media and social networks. These new challenges are focused mainly on problems such as data processing, data storage, data representation, and how data can be used for pattern mining, analysing user behaviours, and visualizing and tracking data, among others. In this paper, we present a revision of the new methodologies that is designed to allow for efficient data mining and information fusion from social media and of the new applications and frameworks that are currently appearing under the ""umbrella"" of the social networks, social media and big data paradigms."
